ID,Resort,Latitude,Longitude,Country,Continent,Price,Season,Highest point,Lowest point,Beginner slopes,Intermediate slopes,Difficult slopes,Total slopes,Longest run,Snow cannons,Surface lifts,Chair lifts,Gondola lifts,Total lifts,Lift capacity,Child friendly,Snowparks,Nightskiing,Summer skiing
3,Golm,47.05781,9.8281668,Austria,Europe,48,December - April,2110,650,13,12,1,26,9,123,4,4,3,11,16240,Yes,No,No,No
9,Hochschwarzeck,47.6283728,12.9205276,Germany,Europe,22,December - April,1385,1030,4,0,0,4,0,0,3,1,0,4,2880,Yes,No,No,No
10,Rossfeld - Berchtesgaden - Oberau,47.6513062,13.0589774,Germany,Europe,20,December - April,1554,1300,7,1,0,8,6,0,4,0,0,4,3229,Yes,Yes,Yes,No
14,Brauneck Lenggries ?Wegscheid,47.674786,11.554735,Germany,Europe,35,December - April,1712,700,8,22,4,34,3,0,16,4,1,21,19100,Yes,No,Yes,No
15,Zermatt - Matterhorn,45.96300885,7.715412186,Switzerland,Europe,81,Year-round,3899,1562,75,220,27,322,16,1060,21,22,20,63,93464,Yes,Yes,No,Yes
35,Wagrain (Ski amedé),47.3336293,13.3031532,Austria,Europe,52,November - April,1980,740,30,81,4,115,6,600,22,16,11,49,75398,Yes,Yes,No,No
36,Kaunertal Glacier (Kaunertaler Gletscher),46.8774734,10.7136205,Austria,Europe,43,September - June,3108,2180,14,4,2,20,5,0,6,2,1,9,13200,Yes,No,No,No
37,Saalbach Hinterglemm Leogang Fieberbrunn (Skicircus),47.392906,12.636085,Austria,Europe,53,November - April,2096,830,140,112,18,270,7,927,21,22,28,71,135104,Yes,Yes,Yes,No
39,Reither Kogel-Reith im Alpbachtal,47.4005419,11.8601176,Austria,Europe,46,December - March,1280,670,1,3,0,4,0,0,4,0,1,5,4070,Yes,No,Yes,No
42,Rinerhorn (Davos Klosters),46.74122595,9.798008893,Switzerland,Europe,48,December - March,2490,1454,10,22,8,40,7,14,6,0,1,7,6900,Yes,Yes,No,No
43,Madrisa (Davos Klosters),46.9097225,9.877450678,Switzerland,Europe,52,December - March,2611,1142,6,9,9,24,8,9,7,2,1,10,6640,Yes,Yes,No,No
44,Jakobshorn (Davos Klosters),46.772399,9.8493406,Switzerland,Europe,58,December - April,2590,1540,25,13,2,40,6,140,5,5,3,13,15800,Yes,Yes,No,No
45,Glacier 3000 / Les Diablerets,46.3511021,7.1566435,Switzerland,Europe,54,October - May,3016,1343,9,3,12,24,8,0,4,3,3,10,10260,Yes,Yes,No,No
47,Obergurgl-Hochgurgl,46.879426,11.0387065,Austria,Europe,50,November - May,3082,1793,35,55,20,110,8,320,13,7,8,28,38861,Yes,Yes,Yes,No
55,Stubai Glacier,46.995462,11.14049,Austria,Europe,46,September - June,3212,1697,19,15,4,38,10,69,14,7,5,26,39784,Yes,Yes,No,No
76,Kleine Scheidegg / ?Ma?nnlichen-Grindelwald / ?Wengen,46.5850987,7.9608968,Switzerland,Europe,55,November - April,2320,944,33,56,13,102,13,0,10,10,6,26,29250,Yes,No,No,No
92,Kitzsteinhorn - Kaprun,47.1880444,12.6874982,Austria,Europe,50,July,3029,1978,13,25,3,41,5,105,5,5,7,17,33598,Yes,Yes,No,Yes
96,Sölden,46.9673961,11.0070193,Austria,Europe,53,September - May,3340,1350,70,44,29,143,15,363,12,16,8,36,70370,Yes,Yes,Yes,No
