Date,Region,Country,Elevation (m),Wind (Beaufort),Temperature (°C),Precipitation (mm),Snow Depth (cm)
2022-10-02,Garmisch-Partenkirchen,Germany,750,5,15.3,0,0
2022-10-03,Garmisch-Partenkirchen,Germany,750,5,25.7,0,0
2022-10-04,Garmisch-Partenkirchen,Germany,750,7,21.1,0,0
2022-10-05,Garmisch-Partenkirchen,Germany,750,7,12.4,24.1,0
2022-10-06,Garmisch-Partenkirchen,Germany,750,4,13.9,3.7,0
2022-10-07,Garmisch-Partenkirchen,Germany,750,5,13,0,0
2022-10-08,Garmisch-Partenkirchen,Germany,750,6,17.8,0,0
2022-10-09,Garmisch-Partenkirchen,Germany,750,4,17.6,0,0
2022-10-10,Garmisch-Partenkirchen,Germany,750,6,11.9,11.5,0
2022-10-11,Garmisch-Partenkirchen,Germany,750,7,12.2,20.2,0
2022-10-12,Garmisch-Partenkirchen,Germany,750,3,27.9,0,0
2022-10-13,Garmisch-Partenkirchen,Germany,750,5,20.5,0,0
2022-10-14,Garmisch-Partenkirchen,Germany,750,3,13.4,0,0
2022-10-15,Garmisch-Partenkirchen,Germany,750,4,14.7,0,0
2022-10-16,Garmisch-Partenkirchen,Germany,750,5,18.9,0,0
2022-10-17,Garmisch-Partenkirchen,Germany,750,3,15.4,0,0
2022-10-18,Garmisch-Partenkirchen,Germany,750,6,21.2,24.7,0
2022-10-19,Garmisch-Partenkirchen,Germany,750,6,9,0,0
2022-10-20,Garmisch-Partenkirchen,Germany,750,5,25.8,0,0
2022-10-21,Garmisch-Partenkirchen,Germany,750,5,24.1,10.6,0
2022-10-22,Garmisch-Partenkirchen,Germany,750,6,25.6,0,0
2022-10-23,Garmisch-Partenkirchen,Germany,750,5,15.6,12.5,0
2022-10-24,Garmisch-Partenkirchen,Germany,750,3,15.4,0,0
2022-10-25,Garmisch-Partenkirchen,Germany,750,4,8.6,0,0
2022-10-26,Garmisch-Partenkirchen,Germany,750,4,23.6,0,0
2022-10-27,Garmisch-Partenkirchen,Germany,750,6,11.7,8.1,0
2022-10-28,Garmisch-Partenkirchen,Germany,750,6,18.3,0,0
2022-10-29,Garmisch-Partenkirchen,Germany,750,4,15.7,0,0
2022-10-30,Garmisch-Partenkirchen,Germany,750,4,14.8,0,0
2022-10-31,Garmisch-Partenkirchen,Germany,750,6,20.6,0,0
2022-11-01,Garmisch-Partenkirchen,Germany,750,5,0.6,5.1,49
2022-11-02,Garmisch-Partenkirchen,Germany,750,5,-6.1,0,22
2022-11-03,Garmisch-Partenkirchen,Germany,750,5,-5.4,0,41
2022-11-04,Garmisch-Partenkirchen,Germany,750,5,-8.1,6.9,55
2022-11-05,Garmisch-Partenkirchen,Germany,750,5,-6,5.8,16
2022-11-06,Garmisch-Partenkirchen,Germany,750,4,-5.7,2.6,40
2022-11-07,Garmisch-Partenkirchen,Germany,750,5,-13.6,6.3,15
2022-11-08,Garmisch-Partenkirchen,Germany,750,3,-8.3,0,44
2022-11-09,Garmisch-Partenkirchen,Germany,750,6,-7.5,0,21
2022-11-10,Garmisch-Partenkirchen,Germany,750,4,-10.5,7.3,49
2022-11-11,Garmisch-Partenkirchen,Germany,750,3,-0.9,4.5,39
2022-11-12,Garmisch-Partenkirchen,Germany,750,5,-13,0,30
2022-11-13,Garmisch-Partenkirchen,Germany,750,6,-1.7,1.8,13
2022-11-14,Garmisch-Partenkirchen,Germany,750,3,-4.7,0,26
2022-11-15,Garmisch-Partenkirchen,Germany,750,7,-5.1,0.2,44
2022-11-16,Garmisch-Partenkirchen,Germany,750,6,-5.2,0,51
2022-11-17,Garmisch-Partenkirchen,Germany,750,4,-8.4,0,39
2022-11-18,Garmisch-Partenkirchen,Germany,750,6,-4.4,0,55
2022-11-19,Garmisch-Partenkirchen,Germany,750,6,-7.6,8.4,33
