Region,Country,Date,Elevation (m),Wind (Beaufort),Temperature (Â°C),Snow Depth (cm),Precipitation (mm),Daily Snow Depth (cm),Monthly Snow Depth (cm),Mean Snow Depth (cm),Max Snow Depth (cm),Days where AVG Temp < 0C
Adelboden,Switzerland,12/01/2015,,,,125,,,125,20,48,29
Adelboden,Switzerland,18/02/2015,,,,83,,,83,39.85714286,61,28
Adelboden,Switzerland,06/03/2015,,,,58,,,58,18.67741935,58,24
Adelboden,Switzerland,26/04/2015,,,,36,,,36,1.8,17,7
Adelboden,Switzerland,09/05/2015,,,,31,,,31,1.419354839,22,4
Adelboden,Switzerland,27/10/2015,,,,7,,,7,0.35483871,9,3
Adelboden,Switzerland,07/11/2015,,,,85,,,85,10.83333333,51,10
Adelboden,Switzerland,05/12/2015,,,,0,,,0,4.322580645,22,16
Adelboden,Switzerland,16/01/2016,,,,98,,,98,19.90322581,48,29
Adelboden,Switzerland,20/02/2016,,,,137,,,137,19.34482759,38,27
Adelboden,Switzerland,30/03/2016,,,,83,,,83,16.22580645,37,25
Adelboden,Switzerland,15/04/2016,,,,82,,,82,3.366666667,32,9
Adelboden,Switzerland,03/05/2016,,,,43,,,43,2.258064516,28,6
Adelboden,Switzerland,15/10/2016,,,,2,,,2,0.064516129,2,1
Adelboden,Switzerland,07/11/2016,,,,65,,,65,6.2,34,13
Adelboden,Switzerland,27/12/2016,,,,2,,,2,0.064516129,2,1
Adelboden,Switzerland,24/01/2017,,,,95,,,95,25.90322581,45,29
Adelboden,Switzerland,12/02/2017,,,,70,,,70,27.96428571,48,28
Adelboden,Switzerland,04/03/2017,,,,67,,,67,5.225806452,38,11
Adelboden,Switzerland,20/04/2017,,,,35,,,35,1.7,23,6
Adelboden,Switzerland,06/05/2017,,,,6,,,6,0.193548387,4,2
Adelboden,Switzerland,16/10/2017,,,,2,,,2,0.064516129,2,1
Adelboden,Switzerland,29/11/2017,,,,94,,,94,10.66666667,35,23
Adelboden,Switzerland,12/12/2017,,,,140,,,140,27.96774194,47,31
Adelboden,Switzerland,10/01/2018,,,,60,,,60,12.4516129,37,31
Adelboden,Switzerland,09/02/2018,,,,47,,,47,14.32142857,31,28
Adelboden,Switzerland,14/03/2018,,,,60,,,60,7.451612903,18,24
Adelboden,Switzerland,04/04/2018,,,,16,,,16,1.066666667,21,3
